zip,state_name,soldBy,customerID,officeID,active_status,days_old,services_completed,services_due,completion_percentage,balance,difference,avg_contract_value,distance_in_miles,population_current,gender_male,age_median,race_white,crime_overall,households_total,households_value,households_yearbuilt,households_occupancy_owned,income_average,income_median,costs_overall
75087,Texas,23335,477991,9,1,925,12,11.80,1.0169,0,-0.1918,477,26.40,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
76002,Texas,2895,485475,9,0,931,9,11.87,0.7582,0,2.8740,361,23.86,32027,47.58,30,42.06,33,9486,152379,2000,88.67,87789,81405,85
75068,Texas,3161,485476,9,1,930,12,11.86,1.0118,0,-0.1370,449,16.17,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
76013,Texas,3351,485479,9,1,931,13,11.87,1.0952,0,-1.1260,501,21.38,30704,47.12,38,74.66,96,13284,150257,1975,52.39,69718,56926,110
76002,Texas,2895,485481,9,0,931,2,11.87,0.1685,0,9.8740,367,23.93,32027,47.58,30,42.06,33,9486,152379,2000,88.67,87789,81405,85
75068,Texas,2589,485483,9,1,931,12,11.87,1.0110,100,-0.1260,368,18.11,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75052,Texas,3240,485485,9,0,931,4,11.87,0.3370,0,7.8740,436,21.98,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75052,Texas,3364,485493,9,0,931,2,11.87,0.1685,0,9.8740,489,22.43,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75040,Texas,3147,485499,9,0,930,10,11.86,0.8432,0,1.8630,517,17.75,61351,47.42,34,54.24,31,18792,118569,1977,73.86,67810,59509,82
76248,Texas,2624,485501,9,0,1000,1,12.63,0.0792,0,11.6301,455,16.65,35651,47.67,39,87.86,4,12176,270683,1996,81.56,129637,115106,114
76018,Texas,2783,485502,9,1,930,12,11.86,1.0118,0,-0.1370,443,22.56,27445,47.37,31,43.74,38,8775,126099,1991,78.11,77820,69036,87
75040,Texas,2648,485503,9,0,930,2,11.86,0.1686,0,9.8630,501,16.24,61351,47.42,34,54.24,31,18792,118569,1977,73.86,67810,59509,82
75089,Texas,2420,485504,9,1,930,11,11.86,0.9275,0,0.8630,368,19.01,28263,47.42,35,64.39,18,8997,172060,1994,88.23,99947,93073,100
75068,Texas,3098,485505,9,1,930,13,11.86,1.0961,0,-1.1370,501,18.28,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75070,Texas,3147,485506,9,0,997,10,12.59,0.7943,0,2.5973,490,20.74,81669,47.44,34,78.11,10,28075,220738,1999,77.44,113373,104357,111
76063,Texas,2828,485510,9,0,930,2,11.86,0.1686,0,9.8630,511,27.01,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
76063,Texas,3228,485515,9,0,929,9,11.85,0.7595,0,2.8521,356,27.41,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75068,Texas,3098,485517,9,1,929,12,11.85,1.0127,0,-0.1479,368,18.18,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75044,Texas,3147,485518,9,1,927,10,11.83,0.8453,0,1.8301,502,16.35,41179,46.82,39,55.94,28,15262,162572,1983,67.74,83670,72558,105
75040,Texas,3147,485519,9,0,927,7,11.83,0.5917,0,4.8301,517,17.67,61351,47.42,34,54.24,31,18792,118569,1977,73.86,67810,59509,82
75089,Texas,3321,485524,9,0,927,8,11.83,0.6762,0,3.8301,489,19.31,28263,47.42,35,64.39,18,8997,172060,1994,88.23,99947,93073,100
75089,Texas,2994,485525,9,1,922,12,11.77,1.0195,0,-0.2247,501,21.50,28263,47.42,35,64.39,18,8997,172060,1994,88.23,99947,93073,100
75040,Texas,3324,485534,9,1,927,12,11.83,1.0144,0,-0.1699,501,17.40,61351,47.42,34,54.24,31,18792,118569,1977,73.86,67810,59509,82
75068,Texas,2550,485537,9,0,927,10,11.83,0.8453,0,1.8301,356,16.49,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75068,Texas,3261,485538,9,1,927,11,11.83,0.9298,0,0.8301,368,18.23,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75068,Texas,2803,485542,9,0,927,3,11.83,0.2536,0,8.8301,489,17.89,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75068,Texas,3137,485543,9,1,927,10,11.83,0.8453,0,1.8301,501,17.79,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75013,Texas,2589,485544,9,0,927,9,11.83,0.7608,0,2.8301,489,16.98,32458,47.93,35,68.16,8,10802,291038,1999,74.04,125073,121133,115
75068,Texas,3299,485547,9,1,832,10,10.78,0.9276,0,0.7890,328,16.49,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
76018,Texas,2783,485563,9,1,927,12,11.83,1.0144,0,-0.1699,563,22.84,27445,47.37,31,43.74,38,8775,126099,1991,78.11,77820,69036,87
75068,Texas,3344,485570,9,0,930,7,11.86,0.5902,0,4.8630,276,17.79,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75068,Texas,2550,485571,9,1,930,12,11.86,1.0118,0,-0.1370,368,16.50,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75068,Texas,2668,485573,9,0,930,4,11.86,0.3373,0,7.8630,489,15.48,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75068,Texas,2797,485574,9,0,930,11,11.86,0.9275,0,0.8630,368,17.36,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75068,Texas,3161,485575,9,1,930,13,11.86,1.0961,0,-1.1370,541,15.99,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75068,Texas,3161,485576,9,0,930,9,11.86,0.7589,0,2.8630,569,16.06,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75040,Texas,3129,485579,9,0,929,8,11.85,0.6751,0,3.8521,357,17.03,61351,47.42,34,54.24,31,18792,118569,1977,73.86,67810,59509,82
75078,Texas,2604,485580,9,0,927,10,11.83,0.8453,0,1.8301,368,19.27,11070,48.39,34,85.69,9,3516,321284,2000,76.93,124435,117260,107
76248,Texas,2624,485581,9,1,999,12,12.61,0.9516,0,0.6192,449,16.62,35651,47.67,39,87.86,4,12176,270683,1996,81.56,129637,115106,114
76244,Texas,2825,485583,9,1,997,12,12.59,0.9531,0,0.5973,392,21.14,60036,48.26,30,76.90,8,19071,180872,2002,82.47,100199,95157,103
76002,Texas,3316,485585,9,1,929,12,11.85,1.0127,0,-0.1479,501,26.29,32027,47.58,30,42.06,33,9486,152379,2000,88.67,87789,81405,85
75068,Texas,3161,485594,9,1,929,13,11.85,1.0970,0,-1.1479,449,15.91,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75068,Texas,3098,485598,9,0,929,7,11.85,0.5907,0,4.8521,356,18.15,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75068,Texas,3161,485601,9,0,929,3,11.85,0.2532,0,8.8521,489,16.00,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75089,Texas,3321,485602,9,0,929,1,11.85,0.0844,0,10.8521,489,19.02,28263,47.42,35,64.39,18,8997,172060,1994,88.23,99947,93073,100
75068,Texas,2668,485603,9,0,929,8,11.85,0.6751,0,3.8521,496,15.12,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75040,Texas,2463,485607,9,1,929,12,11.85,1.0127,0,-0.1479,369,17.72,61351,47.42,34,54.24,31,18792,118569,1977,73.86,67810,59509,82
