zip,state_name,soldBy,customerID,officeID,active_status,days_old,services_completed,services_due,completion_percentage,balance,difference,avg_contract_value,distance_in_miles,population_current,gender_male,age_median,race_white,crime_overall,households_total,households_value,households_yearbuilt,households_occupancy_owned,income_average,income_median,costs_overall
75068,Texas,3161,485608,9,0,929,8,11.85,0.6751,0,3.8521,409,15.73,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75098,Texas,2994,485611,9,1,930,12,11.86,1.0118,0,-0.1370,422,22.00,53836,47.75,32,71.79,24,17330,163593,1997,83.55,90327,82436,98
75040,Texas,3324,485613,9,0,930,2,11.86,0.1686,0,9.8630,489,16.93,61351,47.42,34,54.24,31,18792,118569,1977,73.86,67810,59509,82
75089,Texas,2648,485614,9,0,929,3,11.85,0.2532,0,8.8521,489,19.03,28263,47.42,35,64.39,18,8997,172060,1994,88.23,99947,93073,100
75068,Texas,3098,485616,9,0,927,2,11.83,0.1691,0,9.8301,380,15.78,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75040,Texas,2934,485617,9,0,929,10,11.85,0.8439,0,1.8521,461,16.59,61351,47.42,34,54.24,31,18792,118569,1977,73.86,67810,59509,82
76063,Texas,2895,485618,9,0,927,7,11.83,0.5917,0,4.8301,367,26.97,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75087,Texas,3147,485620,9,0,927,2,11.83,0.1691,0,9.8301,381,22.41,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75040,Texas,2463,485625,9,1,929,11,11.85,0.9283,0,0.8521,501,17.69,61351,47.42,34,54.24,31,18792,118569,1977,73.86,67810,59509,82
75032,Texas,3321,485627,9,0,927,9,11.83,0.7608,0,2.8301,409,26.06,28806,48.47,36,82.64,17,9534,255040,1995,82.41,113145,96090,104
76063,Texas,2828,485630,9,1,929,12,11.85,1.0127,0,-0.1479,518,27.16,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
76018,Texas,2825,485631,9,0,930,1,11.86,0.0843,0,10.8630,407,22.10,27445,47.37,31,43.74,38,8775,126099,1991,78.11,77820,69036,87
75068,Texas,2668,485634,9,0,927,9,11.83,0.7608,0,2.8301,496,15.26,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
76248,Texas,3316,485635,9,0,999,3,12.61,0.2379,0,9.6192,390,19.33,35651,47.67,39,87.86,4,12176,270683,1996,81.56,129637,115106,114
76018,Texas,2783,485638,9,0,929,7,11.85,0.5907,0,4.8521,409,22.58,27445,47.37,31,43.74,38,8775,126099,1991,78.11,77820,69036,87
75052,Texas,2895,485639,9,0,929,10,11.85,0.8439,0,1.8521,378,23.85,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
76063,Texas,2828,485640,9,0,929,1,11.85,0.0844,0,10.8521,522,27.24,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75068,Texas,2550,485643,9,1,929,13,11.85,1.0970,0,-1.1479,501,16.54,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
76063,Texas,2619,485644,9,0,929,2,11.85,0.1688,0,9.8521,500,26.87,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75068,Texas,3048,485647,9,0,929,10,11.85,0.8439,0,1.8521,356,16.46,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
76063,Texas,3228,485650,9,0,929,11,11.85,0.9283,0,0.8521,475,27.39,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75052,Texas,2736,485653,9,0,927,3,11.83,0.2536,0,8.8301,357,20.42,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75052,Texas,2825,485656,9,0,927,2,11.83,0.1691,0,9.8301,489,21.24,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75052,Texas,3240,485658,9,0,927,6,11.83,0.5072,0,5.8301,489,23.20,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75052,Texas,2783,485659,9,0,927,10,11.83,0.8453,0,1.8301,505,20.91,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75052,Texas,2917,485660,9,0,927,9,11.83,0.7608,0,2.8301,357,22.17,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75089,Texas,2365,485664,9,0,923,9,11.78,0.7640,0,2.7863,489,19.76,28263,47.42,35,64.39,18,8997,172060,1994,88.23,99947,93073,100
75087,Texas,2426,485670,9,1,926,12,11.81,1.0161,0,-0.1808,421,25.12,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75087,Texas,2463,485672,9,1,926,13,11.81,1.1008,0,-1.1808,433,27.09,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75078,Texas,2994,485673,9,0,926,3,11.81,0.2540,0,8.8192,356,26.64,11070,48.39,34,85.69,9,3516,321284,2000,76.93,124435,117260,107
75052,Texas,2736,485679,9,1,927,12,11.83,1.0144,0,-0.1699,369,20.27,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75034,Texas,2550,485681,9,0,927,9,11.83,0.7608,0,2.8301,356,12.81,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75052,Texas,2783,485682,9,0,927,7,11.83,0.5917,0,4.8301,356,20.88,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75068,Texas,3261,485684,9,1,927,12,11.83,1.0144,0,-0.1699,368,18.06,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75087,Texas,2548,485685,9,1,927,12,11.83,1.0144,0,-0.1699,368,25.87,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75068,Texas,3098,485689,9,0,926,11,11.81,0.9314,0,0.8192,368,15.68,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
76063,Texas,2828,485690,9,1,927,10,11.83,0.8453,0,1.8301,438,27.77,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75052,Texas,3234,485691,9,0,927,1,11.83,0.0845,0,10.8301,489,21.53,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75052,Texas,2736,485692,9,0,927,1,11.83,0.0845,0,10.8301,489,20.29,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75089,Texas,3321,485700,9,0,927,2,11.83,0.1691,0,9.8301,490,19.16,28263,47.42,35,64.39,18,8997,172060,1994,88.23,99947,93073,100
75034,Texas,3161,485702,9,1,926,12,11.81,1.0161,0,-0.1808,501,14.41,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75052,Texas,3228,485703,9,0,926,2,11.81,0.1693,0,9.8192,489,21.23,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75034,Texas,3049,485708,9,0,926,10,11.81,0.8467,0,1.8192,409,13.02,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75034,Texas,3176,485709,9,0,926,1,11.81,0.0847,0,10.8192,409,13.14,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75052,Texas,3234,485711,9,0,926,1,11.81,0.0847,0,10.8192,436,21.67,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75056,Texas,3362,485712,9,1,926,11,11.81,0.9314,0,0.8192,368,11.46,50281,48.90,33,70.44,14,17381,209292,1992,71.34,106461,95262,108
75052,Texas,3316,485713,9,0,925,2,11.80,0.1695,0,9.8082,357,20.90,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75052,Texas,2624,485714,9,1,925,12,11.80,1.0169,0,-0.1918,523,22.94,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75056,Texas,3362,485715,9,1,926,12,11.81,1.0161,0,-0.1808,501,11.10,50281,48.90,33,70.44,14,17381,209292,1992,71.34,106461,95262,108
75087,Texas,2377,485717,9,1,926,12,11.81,1.0161,0,-0.1808,574,25.51,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75087,Texas,3055,485718,9,0,926,8,11.81,0.6774,0,3.8192,387,25.85,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75078,Texas,2994,485721,9,1,925,12,11.80,1.0169,0,-0.1918,400,26.63,11070,48.39,34,85.69,9,3516,321284,2000,76.93,124435,117260,107
75087,Texas,2994,485724,9,1,926,11,11.81,0.9314,0,0.8192,368,26.71,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75087,Texas,2365,485727,9,1,925,12,11.80,1.0169,0,-0.1918,501,25.76,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75032,Texas,2365,485729,9,0,925,4,11.80,0.3390,0,7.8082,489,27.09,28806,48.47,36,82.64,17,9534,255040,1995,82.41,113145,96090,104
75087,Texas,2994,485730,9,0,925,8,11.80,0.6780,0,3.8082,356,25.55,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75087,Texas,2548,485736,9,0,925,8,11.80,0.6780,0,3.8082,410,25.84,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
76063,Texas,3240,485739,9,0,926,8,11.81,0.6774,0,3.8192,489,27.04,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75087,Texas,2587,485740,9,0,926,9,11.81,0.7621,0,2.8192,396,25.67,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75087,Texas,2994,485741,9,1,926,12,11.81,1.0161,0,-0.1808,368,26.52,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75087,Texas,2426,485742,9,1,926,13,11.81,1.1008,0,-1.1808,368,25.38,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75034,Texas,3137,485744,9,0,926,10,11.81,0.8467,0,1.8192,489,12.91,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
76063,Texas,2619,485745,9,1,926,12,11.81,1.0161,0,-0.1808,432,26.99,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75068,Texas,2604,485746,9,1,924,12,11.79,1.0178,0,-0.2027,369,14.43,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75087,Texas,3324,485747,9,0,926,9,11.81,0.7621,0,2.8192,511,25.28,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75052,Texas,3250,485748,9,0,926,1,11.81,0.0847,0,10.8192,490,24.02,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75087,Texas,3055,485749,9,1,926,10,11.81,0.8467,0,1.8192,541,24.46,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75052,Texas,3240,485751,9,1,926,12,11.81,1.0161,0,-0.1808,338,23.13,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75087,Texas,3129,485753,9,1,926,12,11.81,1.0161,0,-0.1808,368,25.10,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75087,Texas,2648,485758,9,0,926,3,11.81,0.2540,0,8.8192,357,26.54,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75087,Texas,2420,485761,9,1,926,12,11.81,1.0161,0,-0.1808,369,26.13,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75034,Texas,3176,485762,9,1,926,12,11.81,1.0161,0,-0.1808,421,13.12,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75052,Texas,2918,485763,9,1,926,13,11.81,1.1008,0,-1.1808,288,21.00,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75087,Texas,2377,485767,9,1,926,12,11.81,1.0161,0,-0.1808,541,25.58,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75056,Texas,3362,485769,9,1,926,11,11.81,0.9314,0,0.8192,341,11.08,50281,48.90,33,70.44,14,17381,209292,1992,71.34,106461,95262,108
75052,Texas,2783,485770,9,0,926,1,11.81,0.0847,0,10.8192,378,20.93,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75052,Texas,2783,485772,9,0,926,2,11.81,0.1693,0,9.8192,378,20.88,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75056,Texas,3362,485775,9,1,926,13,11.81,1.1008,0,-1.1808,288,11.37,50281,48.90,33,70.44,14,17381,209292,1992,71.34,106461,95262,108
75052,Texas,3285,485777,9,0,926,7,11.81,0.5927,0,4.8192,356,20.87,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75056,Texas,3362,485779,9,1,926,12,11.81,1.0161,0,-0.1808,501,11.06,50281,48.90,33,70.44,14,17381,209292,1992,71.34,106461,95262,108
75052,Texas,2736,485780,9,0,926,11,11.81,0.9314,0,0.8192,635,20.45,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75052,Texas,2825,485783,9,0,926,7,11.81,0.5927,0,4.8192,489,21.35,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75068,Texas,3137,485784,9,1,926,12,11.81,1.0161,0,-0.1808,368,17.90,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75034,Texas,3161,485789,9,0,926,10,11.81,0.8467,0,1.8192,489,14.49,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75034,Texas,3161,485790,9,1,926,12,11.81,1.0161,0,-0.1808,501,14.49,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75034,Texas,3049,485791,9,0,926,9,11.81,0.7621,0,2.8192,356,13.06,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
76063,Texas,3228,485793,9,0,926,2,11.81,0.1693,0,9.8192,489,27.47,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75034,Texas,3048,485798,9,1,925,12,11.80,1.0169,121,-0.1918,448,12.92,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
76063,Texas,3228,485800,9,0,926,2,11.81,0.1693,0,9.8192,511,27.24,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75034,Texas,3176,485801,9,1,925,13,11.80,1.1017,0,-1.1918,368,13.16,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75034,Texas,3176,485803,9,1,923,13,11.78,1.1036,0,-1.2137,421,13.16,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75052,Texas,3228,485805,9,0,926,9,11.81,0.7621,0,2.8192,522,21.30,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
76063,Texas,2895,485806,9,0,926,3,11.81,0.2540,0,8.8192,489,26.94,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75068,Texas,2589,485807,9,1,926,12,11.81,1.0161,0,-0.1808,368,18.15,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75052,Texas,2825,485809,9,0,926,2,11.81,0.1693,0,9.8192,572,21.34,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75068,Texas,2803,485811,9,0,926,9,11.81,0.7621,0,2.8192,489,17.67,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75056,Texas,3362,485812,9,0,926,9,11.81,0.7621,0,2.8192,489,11.10,50281,48.90,33,70.44,14,17381,209292,1992,71.34,106461,95262,108
75032,Texas,2587,485813,9,1,915,11,11.69,0.9410,0,0.6986,501,26.84,28806,48.47,36,82.64,17,9534,255040,1995,82.41,113145,96090,104
75068,Texas,2589,485814,9,0,926,3,11.81,0.2540,0,8.8192,356,18.14,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75052,Texas,2736,485815,9,0,926,7,11.81,0.5927,0,4.8192,612,20.35,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75052,Texas,2828,485820,9,0,926,11,11.81,0.9314,0,0.8192,518,21.15,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75034,Texas,3161,485822,9,0,926,3,11.81,0.2540,0,8.8192,381,14.48,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75087,Texas,3147,485824,9,0,925,9,11.80,0.7627,0,2.8082,517,25.27,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
76063,Texas,2895,485826,9,1,925,12,11.80,1.0169,100,-0.1918,379,26.87,64218,48.38,35,73.13,18,20920,191428,1995,78.89,104091,95808,100
75068,Texas,3098,485829,9,0,926,8,11.81,0.6774,0,3.8192,436,15.72,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75052,Texas,2828,485831,9,1,924,12,11.79,1.0178,0,-0.2027,529,21.26,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75087,Texas,3147,485832,9,1,925,12,11.80,1.0169,0,-0.1918,502,25.21,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75052,Texas,2783,485833,9,0,925,2,11.80,0.1695,0,9.8082,505,21.00,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75036,NULL,2868,485834,9,1,925,12,11.80,1.0169,0,-0.1918,369,12.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75052,Texas,2825,485835,9,0,924,2,11.79,0.1696,0,9.7973,356,21.35,87266,47.15,32,45.15,55,28100,145167,1991,73.04,81585,71136,88
75189,Texas,2587,485837,9,0,925,7,11.80,0.5932,0,4.8082,409,30.91,24993,48.58,33,83.81,31,8129,161501,1998,85.12,82517,77238,97
75034,Texas,3176,485842,9,0,924,1,11.79,0.0848,0,10.7973,409,13.10,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75032,Texas,3129,485849,9,1,924,12,11.79,1.0178,0,-0.2027,369,26.31,28806,48.47,36,82.64,17,9534,255040,1995,82.41,113145,96090,104
75087,Texas,2648,485851,9,1,924,12,11.79,1.0178,0,-0.2027,501,26.58,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75087,Texas,2463,485854,9,0,924,7,11.79,0.5937,0,4.7973,357,24.25,28355,47.21,39,87.71,29,10167,211811,1992,78.30,95842,85905,110
75032,Texas,3321,485862,9,0,924,4,11.79,0.3393,0,7.7973,543,25.88,28806,48.47,36,82.64,17,9534,255040,1995,82.41,113145,96090,104
75189,Texas,2587,485864,9,0,924,9,11.79,0.7634,0,2.7973,356,30.87,24993,48.58,33,83.81,31,8129,161501,1998,85.12,82517,77238,97
75056,Texas,3362,485869,9,1,924,11,11.79,0.9330,43,0.7973,501,11.48,50281,48.90,33,70.44,14,17381,209292,1992,71.34,106461,95262,108
75033,Texas,3098,485871,9,0,924,8,11.79,0.6785,0,3.7973,569,14.82,32804,48.19,32,76.99,3,9935,278812,2000,86.02,130426,118388,104
75068,Texas,3161,485872,9,0,924,6,11.79,0.5089,0,5.7973,529,14.92,37615,48.23,31,70.89,14,12156,165760,2001,82.74,84248,79003,96
75034,Texas,3176,485873,9,0,924,5,11.79,0.4241,0,6.7973,356,13.10,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75034,Texas,3261,485874,9,0,924,6,11.79,0.5089,0,5.7973,277,12.66,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75034,Texas,3176,485875,9,0,924,2,11.79,0.1696,0,9.7973,409,13.10,43672,48.13,35,73.48,13,16315,350736,1999,63.20,135323,113244,118
75056,Texas,2797,485876,9,1,925,11,11.80,0.9322,0,0.8082,368,11.34,50281,48.90,33,70.44,14,17381,209292,1992,71.34,106461,95262,108
75088,Texas,3147,485882,9,1,925,11,11.80,0.9322,0,0.8082,289,19.08,26588,47.31,40,74.21,16,9008,162574,1987,86.81,102113,86369,104
75054,Texas,2895,485883,9,1,925,12,11.80,1.0169,0,-0.1918,512,25.72,6485,47.92,31,47.05,18,1978,211322,2003,89.18,101587,93522,92
